service_id,date,exception_type
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20241111,1
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20241128,1
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20241225,1
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20250217,1
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20240101,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20240115,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20240219,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20240527,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20240704,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20240902,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20241129,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20241224,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20250101,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20250120,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20250526,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20250619,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20250704,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20250901,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20251111,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20251127,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20251128,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20251224,2
7f6bb668-84cb-40bc-ab7f-9d47178d5693,20251225,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20241111,1
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20241128,1
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20241225,1
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20250217,1
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20240101,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20240115,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20240219,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20240527,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20240704,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20240902,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20241129,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20241224,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20250101,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20250120,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20250526,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20250619,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20250704,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20250901,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20251111,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20251127,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20251128,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20251224,2
b7c27a1b-a827-47ff-83ff-526f7ee4a427,20251225,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20241129,1
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20241224,1
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20250619,1
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20251128,1
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20251224,1
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20240101,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20240115,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20240219,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20240527,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20240704,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20240902,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20241111,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20241128,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20241225,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20250101,2
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,20250120,2
