service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
34e326a9-b614-43e2-972e-0650445e1660,1,1,1,1,1,0,0,20240921,20250119
29d0d86b-0fe6-46a8-9236-1b1ea6e4c5a3,1,1,1,1,1,0,0,20250120,20260120
42fa3d26-dc01-4083-ac32-3a8354c470ff,1,1,1,1,1,0,0,20240921,20250119
db2cde9e-c168-4c45-8a67-a9f9fa0114a6,1,1,1,1,1,0,0,20250120,20260120
7f6bb668-84cb-40bc-ab7f-9d47178d5693,0,0,0,0,0,1,1,20250120,20260120
b7c27a1b-a827-47ff-83ff-526f7ee4a427,0,0,0,0,0,1,1,20250120,20260120
1b8fe71e-fc93-48ae-ae59-38b1a642375a,0,0,0,0,0,1,1,20240921,20250119
73847e74-c247-4910-aa30-dc8c27da4de1,0,0,0,0,0,1,1,20240921,20250119
